sample,fastq_1,fastq_2,sample_name,species
22NLHHLT4_5_8bp-UDP0334,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0334_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0334_2.fastq.gz,ABA23944,Myrmecophaga tridactyla
22NLHHLT4_5_8bp-UDP0335,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0335_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0335_2.fastq.gz,ABA23953,Bufo spinosus
22NLHHLT4_5_8bp-UDP0336,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0336_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0336_2.fastq.gz,ABA23955,Rana pyrenaica
22VML7LT3_1_8bp-UDP0334,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22VML7LT3_1_8bp-UDP0334_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22VML7LT3_1_8bp-UDP0334_2.fastq.gz,ABA23944,Myrmecophaga tridactyla
22VML7LT3_1_8bp-UDP0335,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22VML7LT3_1_8bp-UDP0335_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22VML7LT3_1_8bp-UDP0335_2.fastq.gz,ABA23953,Bufo spinosus
22VML7LT3_1_8bp-UDP0336,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22VML7LT3_1_8bp-UDP0336_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_21/20250616/FASTQ/22VML7LT3_1_8bp-UDP0336_2.fastq.gz,ABA23955,Rana pyrenaica
