sample,fastq_1,fastq_2,sample_name,species
H7Y2CDSXF_2_8bp-UDP0067,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0067_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0067_2.fastq.gz,BB5627,Tauraco erythrolophus
H7Y2CDSXF_2_8bp-UDP0070,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0070_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0070_2.fastq.gz,BB5628,Hippopotamus amphibius
H7Y2CDSXF_2_8bp-UDP0071,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0071_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0071_2.fastq.gz,BB5629,Callimico goeldii
H7Y2CDSXF_2_8bp-UDP0072,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0072_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0072_2.fastq.gz,BB5630,Aldabrachelys gigantea
H7Y2CDSXF_2_8bp-UDP0073,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0073_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0073_2.fastq.gz,BB5631,Macroprotodon brevis
H7Y2CDSXF_2_8bp-UDP0074,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0074_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0074_2.fastq.gz,BB5632,Hierophis viridiflavus
H7Y2CDSXF_2_8bp-UDP0075,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0075_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_2_8bp-UDP0075_2.fastq.gz,BB5633,Penelopides panini
H7Y2CDSXF_3_8bp-UDP0041,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_3_8bp-UDP0041_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_3_8bp-UDP0041_2.fastq.gz,BB5609,Axis axis
H7Y2CDSXF_3_8bp-UDP0042,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_3_8bp-UDP0042_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_3_8bp-UDP0042_2.fastq.gz,BB5610,Tyto alba
H7Y2CDSXF_3_8bp-UDP0043,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_3_8bp-UDP0043_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_15/20250604/FASTQ/H7Y2CDSXF_3_8bp-UDP0043_2.fastq.gz,BB5611,Chauna torquata
