sample,fastq_1,fastq_2,sample_name,species
22NLHHLT4_5_8bp-UDP0360,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_23/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0360_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_23/20250616/FASTQ/22NLHHLT4_5_8bp-UDP0360_2.fastq.gz,ABA23952,Triturus marmoratus
22VML7LT3_7_8bp-UDP0360,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_23/20250616/FASTQ/22VML7LT3_7_8bp-UDP0360_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_23/20250616/FASTQ/22VML7LT3_7_8bp-UDP0360_2.fastq.gz,ABA23952,Triturus marmoratus
22VML7LT3_8_8bp-UDP0360,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_23/20250616/FASTQ/22VML7LT3_8_8bp-UDP0360_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_23/20250616/FASTQ/22VML7LT3_8_8bp-UDP0360_2.fastq.gz,ABA23952,Triturus marmoratus
